Year Mo Dy     tave     tmax     tmin       vp    rhmax    rhmin        pp      gust
2000  3 19    4.517   13.168   -4.134    0.503    0.829    0.366     0.000     3.881
2000  3 20    3.037    9.084   -3.009    0.551    1.011    0.440     0.000    12.407
2000  3 21   -0.556    2.098   -3.209    0.513    1.012    0.739     0.000     6.056
2000  3 22    3.870    8.994   -1.254    0.567    0.968    0.439     0.000     7.703
2000  3 23    8.696   18.488   -1.096    0.659    0.988    0.185     0.000    11.721
2000  3 24    8.194   15.742    0.647    0.573    0.837    0.220     0.000    10.153
2000  3 25    8.015   16.803   -0.774    0.531    0.765    0.226     0.000    11.309
2000  3 26   12.008   18.804    5.212    0.594    0.688    0.159     0.000    17.111
2000  3 27   10.437   20.785    0.090    0.649    0.878    0.150     0.000     6.468
2000  3 28    9.607   15.815    3.398    0.664    0.809    0.302     0.000     9.878
2000  3 29    9.025   15.119    2.931    0.647    0.916    0.211     0.000     7.820
2000  3 30    2.680    5.219    0.141    0.603    1.013    0.616     0.000     8.840
2000  3 31    0.596    2.171   -0.979    0.556    1.008    0.737     0.000     5.547
2000  4  1    4.205   10.473   -2.063    0.506    0.983    0.244     0.000     6.860
2000  4  2    3.181    7.493   -1.130    0.542    1.003    0.410     0.000    13.191
2000  4  3    1.946    7.091   -3.198    0.380    0.799    0.284     0.000    10.682
2000  4  4   10.902   25.100   -3.296    0.640    0.908    0.075     0.000    14.524
2000  4  5   16.131   23.788    8.474    0.531    0.459    0.122     0.000    17.444
2000  4  6   12.382   22.723    2.041    0.617    0.760    0.099     0.000    14.759
2000  4  7    7.766   14.864    0.667    0.486    0.751    0.171     0.000    15.876
2000  4  8    7.787   18.929   -3.355    0.473    0.760    0.137     0.000     6.586
2000  4  9   12.051   23.574    0.529    0.552    0.667    0.119     0.000     8.644
2000  4 10   12.538   17.551    7.524    0.546    0.578    0.175     0.000    10.682
2000  4 11   10.450   17.201    3.700    0.608    0.732    0.230     0.000     8.840
2000  4 12   12.252   23.537    0.966    0.714    0.910    0.092     0.000    10.133
2000  4 13   15.172   25.242    5.102    0.613    0.601    0.112     0.000     8.977
2000  4 14   12.348   23.158    1.539    0.653    0.790    0.121     0.000    10.917
2000  4 15   -0.371    1.842   -2.584    0.523    0.993    0.767     0.000     5.782
2000  4 16    6.790   16.178   -2.599    0.659    0.979    0.357     0.000     7.487
2000  4 17   13.447   24.218    2.675    0.796    0.902    0.131     0.000     8.271
2000  4 18   14.251   24.572    3.930    0.730    0.782    0.117     0.000    13.308
2000  4 19    9.582   11.408    7.757    0.414    0.502    0.193     0.000    13.720
2000  4 20   11.770   20.100    3.440    0.625    0.695    0.211     0.000     9.565
2000  4 21   12.933   22.983    2.883    0.720    0.809    0.159     0.000     8.075
2000  4 22   14.573   22.001    7.146    0.936    0.937    0.192     0.000    10.192
2000  4 23   12.286   17.880    6.693    0.925    0.951    0.344     0.000     9.604
2000  4 24    9.079   15.751    2.407    0.660    0.975    0.170     0.000    14.171
2000  4 25    9.605   17.874    1.336    0.589    0.776    0.210     0.000     8.487
2000  4 26   14.605   25.791    3.420    0.713    0.763    0.097     0.000    11.976
2000  4 27   11.769   18.310    5.228    0.785    0.862    0.277     0.000     6.174
2000  4 28   11.758   20.349    3.167    0.728    0.727    0.328     0.000     7.252
2000  4 29   15.243   23.252    7.235    1.037    0.885    0.313     0.000    13.289
2000  4 30    7.800   12.929    2.671    0.595    0.781    0.345     0.000     9.192
2000  5  1   11.000   21.343    0.657    0.697    0.852    0.211     0.000     5.704
2000  5  2   13.602   23.337    3.867    0.877    0.906    0.221     0.000     7.762
2000  5  3   16.145   26.602    5.689    0.928    0.864    0.148     0.000     7.428
2000  5  4   19.487   31.133    7.841    1.048    0.836    0.090     0.000     9.839
2000  5  5   19.972   31.420    8.524    0.960    0.746    0.077     0.000     8.095
2000  5  6   18.097   25.273   10.921    0.998    0.711    0.252     0.000     7.624
2000  5  7   19.610   26.517   12.702    1.197    0.854    0.195     0.000    13.583
2000  5  8    9.766   14.257    5.276    0.852    0.982    0.427     0.000     8.448
2000  5  9   12.147   20.091    4.203    0.896    1.019    0.247     0.000     8.075
2000  5 10   16.133   23.277    8.988    1.044    0.780    0.360     0.000    11.740
2000  5 11   10.668   15.715    5.620    0.789    0.919    0.310     0.000    12.368
2000  5 12    7.597   13.110    2.085    0.410    0.647    0.140     0.000    13.896
2000  5 13    8.538   18.073   -0.998    0.527    0.818    0.131     0.000     8.663
2000  5 14   12.973   20.180    5.766    0.559    0.540    0.210     0.000     7.311
2000  5 15   16.800   27.662    5.938    0.807    0.768    0.076     0.000     6.546
2000  5 16   17.906   27.863    7.949    1.105    0.831    0.246     0.000     7.801
2000  5 17   11.584   16.963    6.205    1.028    0.940    0.566     0.000    18.796
2000  5 18    9.872   13.513    6.230    0.670    0.785    0.317     0.000     8.526
2000  5 19   11.931   20.396    3.466    0.878    0.964    0.294     0.000     8.859
2000  5 20   14.101   19.005    9.197    0.970    0.857    0.349     0.000     8.702
2000  5 21   15.728   25.572    5.883    1.035    0.970    0.188     0.000     7.468
2000  5 22   20.591   30.135   11.048    1.071    0.726    0.158     0.000     8.761
2000  5 23   22.208   32.352   12.064    1.249    0.772    0.161     0.000     9.878
2000  5 24   17.352   22.328   12.376    1.202    0.868    0.345     0.000     7.036
2000  5 25   17.478   24.001   10.955    1.347    0.939    0.410     0.000     6.350
2000  5 26   17.062   23.435   10.690    1.171    0.945    0.259     0.000     9.134
